website,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika,reported phenomenon other than swastika 2,reported phenomenon other than swastika 3,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,target,target,culprit, ,notes,Actor 1,Move 1,"Actor 1
Move 1",Actor 2,Move 2,"Actor 2
Move 2",Actor 3,Move 3,"Actor 3
Move 3",Actor 4,Move 4,"Actor 4
Move 4",Number of Moves,Classification of Incident,reported phenomenon broad classification,combined moves,combined actors,combined targets,Police Involvement,Police Move,Religious Leader Involvement,Letters/Statements Issued,Clean Up/Cover Up,Clean Up/Cover Up Actor,suspension/denial of access to space,Other Move,Other Actor,Policy/Committee/System Created,Gathering/Protest/Vigil/Demonstration Held,Victim Support,Support,Silence
https://www.nbcnews.com/news/us-news/costumed-tattooed-man-arrested-over-oklahoma-store-disturbance-n489121,1/1/16,Jan-2016,Broken Arrow,OK,National News,none,,,,,No,ink,gas station,local business,body,https://media1.s-nbcnews.com/j/newscms/2016_53/1360886/160102-usnews-ok-arrest-devil-booking-430a_f163d74821b7e1046ad0300d5c4558e8.fit-2000w.jpg,,,,,man with swastika on forehead and dressed in red costume with mask arrested for obstruction and got a misdemeanor ,,,"
",,,"
",,,"
",,,"
",0,None,none,,,,False,no involvement,0,False,False,None,False,False,None,0,0,0,False,False
https://www.firstcoastnews.com/article/news/local/civil-rights-group-condemns-defacement-of-trump-poster/77-17717865,1/5/16,Jan-2016,Jacksonville,FL,Local News,Nazi-themed vandalism,,,"Heil-Donald-Trump, Nazi-Candidate-for-President",Hitler mustache on Trump,yes,marker,storefront,local business,Trump election poster on storefront window,,Trump Supporter,,,"ADL contacted, and they issued a statement: ""The Anti-Defamation League condemns the vandalism in Jacksonville of a poster of Republican Presidential Candidate Donald Trump with Nazi and Hitler imagery. Regardless of whether one takes offense at a political candidate's remarks or positions, in this case those of Candidate Trump, the use (of) Hitler and Nazi imagery is wholly inappropriate and offensive. It demeans the memory of the millions of Jews and millions more who were systematically murdered and persecuted by Hitler and the Nazi regime.""; director of local interfaith center condemned the act but said not hate speech as its within free speech rights Tarah Trueblood, director of the University of North Florida Interfaith Center, called the graffiti ""offensive,"" but noted it couldn't clearly be classified as ""hate speech,"" which has a narrow definition.

""It's offensive, but we have to weigh out the rights of free speech with the rights of the community to have a hate-free environment,"" Trueblood told First Coast News in a phone interview.; police investigating",,ADL,letters/statements,"ADL
letters/statements",religious leaders,letters/statements,"religious leaders
letters/statements",police/sheriff,other,"police/sheriff
other",,,"
",3,Vandalism,vandalism,"letters/statements, letters/statements, other","ADL, religious leaders, police/sheriff",Trump Supporter,True,other,1,True,False,None,False,True,police/sheriff,0,0,0,False,True
https://www.ktnv.com/news/more-racist-letters-prompt-federal-involvement,1/7/16,Jan-2016,Spring Valley,NV,Local News,racist-letters,,,Dear-Homeowners-Do-not-Sell-or-Rent-to-Asians-Black-Arabs-Jews-Mexicans-Gays-We-want-to-keep-Spring-Valley-White,,No,paper and ink,"home
",private property,mailbox,,Non-White,LGBTQ,,"FBI contacted, The law firm attached to the letterhead says they have no involvement.  

""That's not our letter, we don't know who did it, but we didn't,"" says John Leach, with Leach, Johnson, Song & Gruchow. He adds, ""They must have taken our letterhead and then they prepared their own handwritten statement...it's horrible."" 

",,police/sheriff,other,"police/sheriff
other",community members,letters/statements,"community members
letters/statements",,,"
",,,"
",2,Other,other,"other, letters/statements","police/sheriff, community members","Non-White, LGBTQ",True,other,0,True,False,None,False,True,police/sheriff,0,0,0,False,True
https://www.dailytargum.com/article/2016/02/rutgers-administration-responds-to-jan-15-hate-crime-allegations,1/15/16,Jan-2016,New Brunswick,NJ,Student Newspaper,none,,,,,No,tape,Dorm,college,dorm ceiling,,Jewish Community,,roommate of student who reported it,"""RUPD officers conducted an investigation of the events by interviewing Rosen, her roommates and other witnesses, said University spokesperson Jeffrey Tolvin. Details about the case were forwarded to the Middlesex County Prosecutor’s Office, who determined “there was not probable cause to charge the suspect with a bias crime,” Tolvin said in an email. The Office of Student Conduct carried out a trial. During the trial, Rosen’s roommate was put in temporary housing on Busch campus. Following a judicial review, he was removed from University housing.""",Swastika was taped to the ceiling. Student claimed it was a Buddhist peace symbol.,school administration,suspension/denial of access to space,"school administration
suspension/denial of access to space",police/sheriff,other,"police/sheriff
other",,,"
",,,"
",2,None,none,"suspension/denial of access to space, other","school administration, police/sheriff",Jewish Community,True,other,0,False,False,None,True,True,police/sheriff,0,0,0,False,True
https://newyork.cbslocal.com/2016/01/15/rocky-point-swastikas/,1/15/16,Jan-2016,Rocky Point,NY,Local News,graffiti,,,,,No,spray paint,private property,private property,automobile,,,,"Christopher Collins, 18, of Rocky Point",He was charged with two counts of first-degree aggravated harassment and one count of making graffiti.,,police/sheriff,suspension/denial of access to space,"police/sheriff
suspension/denial of access to space",,,"
",,,"
",,,"
",1,Graffiti,graffiti,suspension/denial of access to space,suspension/denial of access to space,,True,suspension/denial of access to space,0,False,False,None,True,False,None,0,0,0,False,True
https://www.mycentraljersey.com/story/news/crime/jersey-mayhem/2017/01/26/swastika-white-power-graffiti-appears-jackson-road/97093194/,1/20/16,Jan-2016,Jackson,NJ,Local News,graffiti,,,White-Power,,No,spray paint,urban street,public space,street,https://www.gannett-cdn.com/-mm-/d206d7dc2d214bf5a65d2d605cee210e2b9a9c4f/c=4-0-3260-2448&r=x404&c=534x401/local/-/media/2017/01/26/NJGroup/AsburyPark/636210389964507225-Jackson-White-Power.jpg,,,,"paint over it as a temporary, but eventually it will be asphalted over",This seems to be an ongoing activity with it appearing as early ast 2006 in that area.,department of transportation,clean up/cover up,"department of transportation
clean up/cover up",,,"
",,,"
",,,"
",1,Graffiti,graffiti,clean up/cover up,clean up/cover up,,False,no involvement,0,False,True,department of transportation,False,False,None,0,0,0,False,True
https://www.bostonglobe.com/metro/2016/05/06/lapses-cited-after-graffiti-found-newton-school/qUx9LkafURxdhwn8QHbl6K/story.html,1/22/16,Feb-2016,Newtonville,MA,Local News,antisemitic-incident,hate-crime,,,,No,snow,middle school,K-12,ground,,,,,"The principal of the school will be hosting a community forum March 9 at 7 p.m. in the Day school library, and plans to devote his next “Parent-Principal Coffee” event on March 11 to the subject.",reported with one below,school administration,gathering/protest/vigil/demonstration,"school administration
gathering/protest/vigil/demonstration",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Incident,antisemitic-incident,"gathering/protest/vigil/demonstration, policy/committee/system creation","school administration, school administration",,False,no involvement,0,False,False,None,False,False,None,1,1,0,True,False
https://www.latimes.com/local/lanow/la-me-ln-swastika-donald-trump-hollywood-star-20160201-story.html,1/29/16,Feb-2016,Hollywood,CA,Local News,vandalism,,,Donald-Trump,,No,spray paint,urban street,public space,Hollywood Walk of Fame star,http://www.trbimg.com/img-56afca82/turbine/la-donald-trump-star-hollywood--swastika-20160201/1600/1600x900,,,,The Hollywood Chamber of Commerce discovered the vandalism cleaned the star.,,mayor/council member,clean up/cover up,"mayor/council member
clean up/cover up",,,"
",,,"
",,,"
",1,Vandalism,vandalism,clean up/cover up,clean up/cover up,,False,no involvement,0,False,True,mayor/council member,False,False,None,0,0,0,False,True
https://www.westernfrontonline.com/2016/06/02/antisemitic-incidents-on-campus-revealed/,1/31/16,Jan-2016,Bellingham,WA,Student Newspaper,antisemitic-incident,,,,,No,marker,college campus,college,dorm door,https://i2.wp.com/www.westernfrontonline.com/wp-content/uploads/2016/06/ErasmusBaxter_antiSemitism_001.jpg,Jewish Community,,student,"Equal Opportunity Office investigated the incidents and released results, and they plan to work with university halls on trainings about antiSemitism. The president of Western Washington University, Bruce Shepard, created a task force on April 12 to deal with the incidents as well as any future incidents.",The picture does not match the actual incident. It references another incident in the area involving antiSemitism. Also reported in the school newspaper: http://www.westernfrontonline.com/2016/06/02/antisemitic-incidents-on-campus-revealed/,school administration,policy/committee/system creation,"school administration
policy/committee/system creation",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Incident,antisemitic-incident,"policy/committee/system creation, policy/committee/system creation","school administration, school administration",Jewish Community,False,no involvement,0,False,False,None,False,False,None,1,0,0,True,False
http://westseattleblog.com/2016/02/sidewalk-swastika-outside-junction-business-for-second-time-in-half-a-year/,2/2/16,Feb-2016,Seattle,WA,Blog,graffiti,,,,,No,marker,urban building,local business,sidewalk,http://zoneone.wf7woxluljv.maxcdn-edge.com/blog/wp-content/uploads/2016/02/2-2-16-e1454445933765.jpg,Jewish Community,,,"Owners removed the graffiti with graffiti remover. After the story was shared, people stopped by the business and supported the owners.",,homeowner/car owner,clean up/cover up,"homeowner/car owner
clean up/cover up",community members,victim support,"community members
victim support",,,"
",,,"
",2,Graffiti,graffiti,"clean up/cover up, victim support","homeowner/car owner, community members",Jewish Community,False,no involvement,0,False,True,homeowner/car owner,False,False,None,0,0,1,True,True
