,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika ,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,target,target,culprit, ,notes,Actor,Move,Actor,Move,Actor,Move,Actor,Move,combined moves,
https://web.archive.org/save/https://www.nj.com/mercer/2017/03/swastika_painted_over_puerto_rican_flag_mural.html,2/25/17,Feb-2017,Trenton,NJ,Local News,,,,no,spray paint,urban street,abandoned structure,abandoned building door,http://image.nj.com/home/njo-media/width620/img/centraljersey_impact/photo/22205991-mmmain.jpg,Non-White,,"Thomas Tyler, owner of building","""Leaders of Casa Cultura and the Puerto Rican Civic Association are gathering at the corner at 1 p.m. Saturday to promote a message of diversity, respect for all and working together for the common good. ""Let's make this an opportunity to unite and organize,"" Kanig said. ""Far too long have we been dormant in the city and it's time to wake up again. We have been working for a few years now to bring back the pride that once flooded these streets and if we don't use this moment as a lesson on how we have barriers intended for our failure, then we've lost the battle.""""","A door had been painted with Puerto Rican Flag as part of murals celebrating diversity. The group had gotten permission from the owner, and building owner spray-painted a swastika on it. He said, ""Yeah...I did that I was a little mad,"" he said. ""But then I sprayed it right over it again. ... I didn't want no Puerto Rican flag. He said a mural...he didn't say anything about a Puerto Rican flag.""",neighbors,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,Non-White
http://www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html,3/27/16,Mar-2016,Roanoke,VA,Local News,defacement,,,No,spray paint,college,college,landmark,https://mgtvwsls.files.wordpress.com/2016/03/swastika.jpg,,,,"Rock repainted with ""Take Back the Rock,"" got together to chalk messages of love on campus sidewalks, and ""Love, Not Hate"" rally was held weekend after incident. See here: http://www.roanoke.com/news/education/hollins-students-emphasize-love-over-hate-after-swastika-found-on/article_63adcd72-4942-5edc-9ecb-04e8f813e7eb.html","Spree: swastika on rock, in tunnel Also reported: http://www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html",community members,clean up/cover up,community members,gathering/protest/vigil/demonstration,,,,,"clean up/cover up, gathering/protest/vigil/demonstration",
https://pilotonline.com/news/local/education/higher-education/swastika-in-trump-found-in-bathroom-at-college-of-william/article_a6d2ff3b-1757-5814-a6ad-68b40b00e97c.html,11/15/16,Nov-2016,Williamsburg,VA,Local News,grafitti,Go-Trump,,No,marker,college,college,bathroom,https://bloximages.newyork1.vip.townnews.com/pilotonline.com/content/tncms/assets/v3/editorial/5/9f/59f8e835-b260-5085-81d1-981b6bde1e91/582dcdf2a0a18.image.png,,,,"Letter here: https://www.wm.edu/news/announcements/2016/our-campus-community.php Dear William & Mary Students, Each year on the day new students move in and begin their orientation, I have the privilege of offering words of welcome to this Tribe family.  The one element of those opening remarks that remains unchanged from one fall to the next is an unwavering affirmation, “Who comes here belongs here.” If ever there was a time for William & Mary to re-affirm that foundational claim in both words and actions, now is that time.  Each one of you belongs here – you were specially chosen to be a part of this campus community, and you are of immeasurable worth because of the diverse experiences, perspectives, identities, traditions, affiliations, and abilities you bring with you. What can never belong here at W&M are any behaviors that harass, intimidate, or threaten others.  It grieves me to know that students in our community are witnessing or directly experiencing such behaviors, as well as the accompanying pain, confusion, and fear they engender. Since last week’s presidential election, students have shared with us, both anonymously and through more formal channels, information about such threats and harassment. Just yesterday, we received a disturbing report about graffiti written on a paper towel dispenser in a hall bathroom in a residence hall. An image of the graffiti, which included the words “Go Trump” with a swastika substituting for the “T” has been widely circulated on social media. No one has come forward to claim responsibility or motive, and we encourage anyone with information about the incident to contact William & Mary Police at 221-4596. Yesterday afternoon, students, faculty and administrators gathered in Tucker Hall to talk about the climate on campus, to ask questions, and to support one another during this turbulent time.  A number of you asked for more information about our campus policies, avenues for reporting discrimination and harassment, and a list of campus resources.  I hope this specially-designed website is helpful – please reach out and let us know what else you might need.  The university will follow-up on reports to the best of our ability using the information provided.  Above all, leverage the trusting relationships you have established at William & Mary with faculty members, with administrators, with mentors, and with your friends. And may we each commit to listening more, with compassion and with respect. Yours, Ginger Ambler Virginia Miller Ambler ‘88, Ph.D. ‘06 Vice President for Student Affairs",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,school administration,victim support,police/sheriff,other,"letters/statements, gathering/protest/vigil/demonstration, victim support, other",
https://web.archive.org/save/http://www.kolotv.com/content/news/UNR-stairwell-tagged-with-swastikas-will-be-painted-over-450854023.html,10/12/17,Oct-2017,Reno,NV,Local News,,Is-this-Political-Enough?,,no,spray paint,college,college,stairwell,http://media.graytvinc.com/images/810*454/swas2toned.JPG,,,,"Dean invites students to paint over the graffiti. ""Taking back the stairwell demonstrates our commitment to love over hate, peace over violence, and community over intimidation,"" Moddelmog said. 
 
 UNR President Marc Johnson sent a letter to students, staff and faculty about the incident. He wrote, ""The stairwell is a space intended as a celebration of artistic expression."" In response, Debra Moddelmog, dean of the College of Liberal Arts, has invited graffiti artists, students and faculty to come together Sunday at 2 p.m. and repaint the stairwell and restore it as a place for creativity and not hate.",spree: multiple swastikas reported http://nevadasagebrush.com/blog/2017/10/13/swastikas-painted-inside-unr-arts-building/,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,school administration,clean up/cover up,,,"letters/statements, gathering/protest/vigil/demonstration, clean up/cover up",
https://medium.com/colby-echo/community-navigates-aftermath-of-hate-symbol-2f79d81ae143,2/19/18,Feb-2018,Waterville,ME,Student Newspaper,,,,,snow,college,college,grass,https://cdn-images-1.medium.com/max/2000/1*2oUfKIPsJlN6K1JZOC-yIw.jpeg,,,,"When the Echo spoke to Dean of the College Karlene Burrell-McRae ’94 following a Pugh Center event held in response to the incident, she underscored the administration’s stance on the hate related incident, and raised the idea of integrating dialogue and conversation about free expression and community into regular programming. The Office of Diversity, Equity, and Inclusion sent out an email on Monday morning informing the community of the presence of the swastika on campus, strongly condemning the symbol. The Office of Diversity, Equity and Inclusion includes Associate Dean of Diversity, Equity and Inclusion Betty Sasaki, Dean of Religious and Spirit Life Kurt Nelson, and Director of the Pugh Center Dwayne Paul. As part of the administration’s response to the incident, The Office of Diversity, Equity and Inclusion and other groups have organized several events including a Pugh Center dinner and dialogue, a United Against Hate Community Gathering in the Spa, and an open forum facilitated by Hillel on February 25 at 6 p.m. in the Bobby Silberman Lounge to discuss the implications of hate-symbols on Colby’s campus. The Hillel Board, SGA and Area Resident Directors also issued a student wide email denouncing the hate related incident and included a message from the Hillel board, saying “Many of us on the Hillel board were shocked to hear about the swastika drawn on Johnson pond, on a campus where we are Jews often have the privilege to feel safe… It is disturbing to see this hatred on our own campus. We stand in solidarity against hate with all of the affected groups at Colby.” Community Advisors circulated an email signed by all CAs offering support to their residents.",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,student group,victim support,student group,letters/statements,"letters/statements, gathering/protest/vigil/demonstration, victim support, letters/statements",
https://web.archive.org/save/https://www.cincinnati.com/story/news/2018/02/27/xavier-investigates-report-nazi-swastika-flag-dorm/376334002/,2/24/18,Feb-2018,Cincinnati,OH,Local News,,,,,cloth and ink,college,college,dorm room,,,,,"The Xavier Student Government Association issued a statement condemning the display and urging students or faculty who observe bias to report it. ""This vile act of supremacy goes against what we as a community stand for, and it is incumbent upon us as students to speak up in the face of hatred here and anywhere,"" the group said in a statement. Xavier President Michael Graham, S.J. said members of the University's Bias Advisory Response Team shared news of the incident with the campus community hours after school officials were informed about it. ""An investigation is underway but so far, the flag and the room where it was located have not been identified,"" he said. ""The investigation will continue. In the meantime, the University is communicating updates to students, faculty and staff via the BART site. I am especially proud of SGA for denouncing this racist and hateful symbol and applaud their members for organizing a dialogue on March 12. They have the full support of the Xavier community.”",,student group,letters/statements,student group,gathering/protest/vigil/demonstration,school administration,letters/statements,,,"letters/statements, gathering/protest/vigil/demonstration, letters/statements",
https://web.archive.org/save/https://cornellsun.com/2018/11/20/three-swastikas-in-9-days-spate-of-antisemitic-incidents-on-north-campus-stokes-fear/,11/14/2018,Nov-2018,Ithaca,NY,Student Newspaper,"antisemitic-signs, vandalism",,,,marker,dorm ,college,,,,,,"students filled out bias reports and reported to The Sun. University eventually made a statement; see above. While members of Dickson Hall said that their R.A.s have called or will soon call floor meetings in response to the incidents, none of the several CKB residents interviewed by The Sun were aware that someone drew a swastika in their living space. Deepak Ilango ’22, a resident of the fifth floor of Dickson Hall, confirmed to The Sun that the R.A. sent out an email about the incident and called a floor meeting to address the issue on Thursday. Zain Mehdi’20, one of the residential advisors in Dickson Hall, also said that he hopes to call a mandatory floor meeting soon to broach the subject to his residents “face-to-face.” The “support gathering” held on Thursday was attended by 13 individuals, roughly half of whom were administrators rather than students. One student participant told The Sun she was not aware of the incidents nor the support meeting until she accidentally walked into the Robert Purcell Community Center auditorium.

Rabbi Ari. D. Weiss, executive director of Cornell Hillel, said that the University considers the safety of Jewish students “very seriously,” adding that CUPD now has an increased presence in “recognizably Jewish events” such as services and Friday dinner at 104 West —  a Kosher dining hall. Furthermore, the campus police are training student leaders and Hillel staff on “emergency procedures,” and creating a “site-specific plan” for the Hillel office.

In addition to strengthening security, the Hillel director is also planning a series of campus outreach efforts, such as a “robust programmatic response” starting next semester to improve awareness about Jewish culture and the swastika signs.

“We believe that Hillel has a role in educating the campus community about the history of antiSemitism and how antisemitism manifests today in 21st-century America,” Weiss said, elaborating on the topics Hillel expects to cover in its planned programming.",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,student group,victim support,religious leaders,victim support,"letters/statements, gathering/protest/vigil/demonstration, victim support, victim support",
https://medium.com/colby-echo/campus-community-outraged-after-swastika-discovered-in-dana-2d94dcd3abff,2/19/2019,Feb-2019,Waterville,MN,Student Newspaper,,,,,metal,dorm,college,elevator wall,,,,,"On Tuesday, Feb. 19, Colby College President David A. Greene sent an email to College faculty, staff, and students which began, “I just learned of the presence of a symbol-of-hate on our campus: a swastika scratched into the wall of an elevator in Dana.” Despite the strong condemnation from Gurevitch and other organizations and individuals on campus including the Student Government Association, the Pugh Center, Greene, and Dean of The College Karlene Burrell-McRae ’94, many students who serve on the board of Hillel, the Jewish student group on campus, expressed their lack of surprise that the trend had continued. “It was honestly not very surprising,” Thomas McMahon ’21 told the Echo.  Thinking about moving forward following the College’s latest swastika incident, Rabbi Asch emphasized education and cross-campus relations and said, “I think, given the Community Conversations that are happening on campus now and the Holocaust Memorial Lecture that’s coming up on Tuesday, those are two ways for people to proactively do something not directly about this but either to educate themselves about the Holocaust or to intentionally be in conversation with people at Colby that have different backgrounds than they do.",student doesn't think the school has done enough,school administration,letters/statements,religious leaders,gathering/protest/vigil/demonstration,,,,,"letters/statements, gathering/protest/vigil/demonstration",
https://collegian.com/2019/09/category-news-swastika-drawing-found-on-wall-in-aggie-village/,9/18/19,Sept-2019,Fort Collins,CO,Student Newspaper,,,,,,student housing,college,exterior wall of apartment complex,,,,,"Director of University Housing Helena Gardner sent an email to Aggie Village residents at 10:25 p.m. last night addressing the drawing.

“Our campus is already struggling with so much anger and pain,” Gardner wrote. “And that is even more reason to reiterate: the use of symbols of hate and violence is not acceptable in our community and causes lasting harm.”

Earlier in the evening, University Housing hosted a round table conversation regarding racism, bias and free speech issues. Gardner said they will schedule a similar conversation at Aggie Village next week.

“This is just the beginning of what we hope will be an engaged process to explore and address these topics as a community as we move through this year,” Gardner wrote.

In her fall address Thursday, Colorado State University President Joyce McConnell confirmed the incident. 

“Last night, we discovered a swastika on the wall in one of our apartment complexes,” McConnell said. “Whether individual or institutional, racism and bias is antithetical to the core mission of excellent higher education.”

Anyone who witnessed this incident or may have information about it has been asked to contact CSUPD at 970-491-6425 or submit a bias report on the CSU Support and Safety website.",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,police/sheriff,other,school administration,victim support,"letters/statements, gathering/protest/vigil/demonstration, other, victim support",
https://www.boston25news.com/news/wheaton-college-rocked-by-yet-another-swastika-norton-campus/YPOAZ4S6O5EHNCNSWTHKGFD6SQ/,12/2/19,Dec-2019,Norton,MA,Local News,,,,,snow,campus,college,sign,,,,,"As students take their finals and prepare to head home for winter break, Wheaton’s president sent an e-mail, which says in part:

“A swastika was found drawn in the snow on a sign near the Dimple. This is the third such incident this semester. I cannot stress this enough: antiSemitism, bigotry and other forms of hatred have no place on the Wheaton campus.”  See this article (https://www.thesunchronicle.com/news/local_news/hateful-graffiti-swastikas-upset-culture-of-acceptance-on-wheaton-campus-in-norton/article_8272eb38-fd64-55d9-a9a6-4ce001b59df9.html) for more response:   In response to the incidents, educational events and rallies have been held on campus and some students were referred to counseling services on campus. The college also stepped up security.

“There is a lot of student support. It’s a very supportive community,” Yans said.

The person or persons responsible for the incidents have not been found, but campus police are investigating.    On Tuesday, there was a school-wide “Blue-Out,” where members of the Wheaton community were asked to wear blue clothing to support Jewish students on campus. It was initiated by a student who wanted to show support for students being targeted, the anonymous student said.",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,police/sheriff,other,,,"letters/statements, gathering/protest/vigil/demonstration, other",
